date,year,return,value,n_features
2021-03-08,2021,0.08562443378006308,318873.32851207943,14
2021-03-15,2021,-0.05214861526002247,302244.5259868202,14
2021-03-22,2021,-0.05591138613421633,285345.61558741797,14
2021-03-29,2021,0.07385693986607847,306420.36955890706,14
2021-04-05,2021,0.026555926998195013,314557.6465236733,14
2021-04-12,2021,0.023684135810312913,322007.67254411237,14
2021-04-19,2021,0.01764812479539941,327690.50413424696,14
2021-04-26,2021,0.010169468248187263,331022.94231127267,12
2021-05-03,2021,-0.01565255744522489,325841.5866910581,12
2021-05-10,2021,0.008525373813483362,328619.50802157796,12
2021-05-17,2021,0.025613686208531182,337036.66498204455,12
2021-05-24,2021,0.030781762144194,347411.2474373942,13
2021-06-07,2021,0.01351620680137241,352106.9297028808,13
2021-06-14,2021,-0.056403313313618905,332246.9322269528,13
2021-06-21,2021,0.038685478439280066,345100.06376013556,13
2021-06-28,2021,-0.01170732045755828,341059.86672377185,13
2021-07-12,2021,-0.10842001409868643,304082.1511650844,13
2021-07-19,2021,0.06368433090177496,323447.41950120515,13
2021-07-26,2021,-0.022336064788279618,316222.87698362436,13
2021-08-02,2021,0.05952564078947431,335046.24636836565,12
2021-08-09,2021,-0.01096473144090423,331372.5542566535,12
2021-08-16,2021,-0.0317904964889867,320838.0562340108,12
2021-08-23,2021,0.04447078762254597,335105.9772940239,12
2021-08-30,2021,0.0031057039125561457,336146.7172388269,12
2021-09-13,2021,0.0021927234243083182,336883.79401972087,12
2021-09-20,2021,0.05999402471554307,357094.8086844059,12
2021-09-27,2021,-0.05166409062885267,338645.83012544195,12
2021-10-04,2021,0.019967086115263388,345407.6005781315,15
2021-10-11,2021,0.038642382858606925,358754.9733219444,15
2021-10-18,2021,0.009918750411317812,362313.3743611438,15
2021-10-25,2021,-0.016632099717583802,356287.34218975494,15
2021-11-01,2021,-0.029247520886149913,345866.8207075893,13
2021-11-08,2021,0.01416469118598752,350765.91741439165,13
2021-11-15,2021,-0.023843286742418823,342402.5050660127,13
2021-11-22,2021,-0.038655081746657306,329166.9082424257,13
2021-11-29,2021,-0.07013334075411307,306081.3333016818,12
2021-12-06,2021,-0.005869089752151025,304284.91448507615,12
2021-12-13,2021,0.002526317493851138,305053.63478765485,12
2021-12-20,2021,0.057153297240747636,322488.45585104416,12
2021-12-27,2021,-0.03180678674092789,312231.13430937886,12
2022-01-03,2022,-0.0861156423983136,285343.14960157254,12
2022-01-10,2022,-0.08244134785265589,261819.07574789686,12
2022-01-24,2022,-0.04812109534132465,249220.0550416548,12
2022-01-31,2022,-0.005440928021470703,247864.0666606662,13
2022-02-07,2022,0.0053007129743097405,249177.92293467955,13
2022-02-14,2022,0.011286691846072394,251990.31736568763,13
2022-02-28,2022,-0.08979008576714557,229364.08515693233,13
2022-03-07,2022,0.042649385415088684,239146.32242516955,13
2022-03-14,2022,0.26148413964491635,301679.2927937608,13
2022-03-21,2022,0.0250580881437797,309238.79910373996,13
2022-03-28,2022,0.017743323234104814,314725.72307276406,13
2022-04-04,2022,-0.0771486883303941,290445.0463538655,13
2022-04-11,2022,0.003702771990150444,291520.4981361825,13
2022-04-18,2022,-0.06540703173178006,272453.0076641249,13
2022-04-25,2022,-0.05072078526075295,258633.97716874653,13
2022-05-02,2022,-0.0396687318513292,248374.2952807967,12
2022-05-09,2022,0.055649247248609465,262196.1378490769,12
2022-05-16,2022,0.007777891519466129,264235.47096609,12
2022-05-23,2022,0.06073687452913242,280284.3076123036,12
2022-06-06,2022,-0.10363222825597737,251237.82026925674,14
2022-06-13,2022,0.17638177462082177,295551.59286021534,14
2022-06-27,2022,0.015231414611377458,300053.2617101223,14
2022-07-11,2022,0.01525710127774108,304631.2047127502,14
2022-07-18,2022,0.06295971317597637,323810.6979859171,15
