date,ticker,action,price,shares,amount,cash_balance,total_value,strategy,pnl
2025-11-05,BAX,SELL,17.940507888793945,55,986.2345699167253,4851.931812352189,9966.095505226143,new_ml,0.056333909034833596
2025-11-05,SMCI,BUY,42.029998779296875,23,967.17331690979,3884.758495442399,9966.095505226143,new_ml,0.0
2025-11-05,DECK,BUY,81.80999755859375,12,982.2108306884766,2902.5476647539226,9966.095505226143,new_ml,0.0
2025-11-05,CMG,BUY,31.969999313354492,31,991.5655137033461,1910.9821510505765,9966.095505226143,new_ml,0.0
2025-11-06,SMCI,SELL,40.34000015258789,23,927.3560935077668,2838.3382445583434,9775.721727390299,new_ml,-39.33387841606134
2025-11-06,CMG,SELL,30.559999465942383,31,946.8863034524918,3785.224548010835,9775.721727390299,new_ml,-44.183675261497456
2025-11-06,COIN,BUY,295.2200012207031,3,886.1028336639404,2899.121714346895,9775.721727390299,new_ml,0.0
2025-11-06,PLTR,BUY,175.0500030517578,5,875.6876402664184,2023.4340740804764,9775.721727390299,new_ml,0.0
2025-11-06,BAX,BUY,17.970491409301758,54,970.891739370346,1052.5423347101305,9775.721727390299,new_ml,0.0
2025-11-07,LYB,SELL,41.816951751708984,22,919.5129520683289,1972.0552867784595,9862.417483483325,new_ml,-61.192705890655475
2025-11-07,TTD,SELL,43.0,20,859.57,2831.6252867784597,9862.417483483325,new_ml,-119.83002441406245
2025-11-07,PLTR,SELL,177.92999267578125,5,889.2051383972168,3720.8304251756763,9862.417483483325,new_ml,13.95512313842778
2025-11-07,CMG,BUY,30.59000015258789,32,979.3694448852539,2741.4609802904224,9862.417483483325,new_ml,0.0
2025-11-07,ARE,BUY,55.61000061035156,17,945.8426953811645,1795.618284909258,9862.417483483325,new_ml,0.0
2025-11-07,TER,BUY,182.14234924316406,5,911.1671020889281,884.4511828203298,9862.417483483325,new_ml,0.0
2025-11-10,APP,SELL,651.3200073242188,1,650.9943473205567,1535.4455301408866,9888.335759617816,new_ml,19.79433511352545
2025-11-10,PSKY,SELL,15.25,66,1005.99675,2541.4422801408864,9888.335759617816,new_ml,-9.743272659301738
