date,value,cash,positions
2025-10-15,13187.644695281982,3787.284381866455,17
2025-10-16,13085.41848373413,3787.284381866455,17
2025-10-17,13142.353260040283,3787.284381866455,17
2025-10-20,13209.180904388428,3787.284381866455,17
2025-10-21,13218.925937652588,3787.284381866455,17
2025-10-22,13197.394512176514,3787.284381866455,17
2025-10-23,13234.29195022583,3787.284381866455,17
2025-10-24,13301.431781768799,3787.284381866455,17
2025-10-27,13421.802021026611,3787.284381866455,17
2025-10-28,13464.281169891357,3787.284381866455,17
2025-10-29,13496.641521453857,3787.284381866455,17
2025-10-30,13506.986881256104,3787.284381866455,17
2025-10-31,13514.904880523682,3787.284381866455,17
2025-11-03,13593.862041473389,2919.2443656921387,18
2025-11-04,13456.68062210083,2919.2443656921387,18
2025-11-05,13471.053707122803,2919.2443656921387,18
2025-11-06,13393.265552520752,2919.2443656921387,18
2025-11-07,13436.866619110107,2919.2443656921387,18
2025-11-10,13630.812183380127,2919.2443656921387,18
2025-11-11,13633.423778533936,2919.2443656921387,18
2025-11-12,13634.718044281006,2919.2443656921387,18
2025-11-13,13481.698993682861,2919.2443656921387,18
2025-11-14,13462.059474945068,2919.2443656921387,18
2025-11-17,13345.895328521729,2919.2443656921387,18
2025-11-18,13288.362613677979,2919.2443656921387,18
2025-11-19,13243.071147918701,2919.2443656921387,18
2025-11-20,13181.500148773193,2919.2443656921387,18
2025-11-21,13315.52314376831,2919.2443656921387,18
2025-11-24,13492.320659637451,2919.2443656921387,18
2025-11-25,13604.064434051514,2919.2443656921387,18
2025-11-26,13648.055721282959,2919.2443656921387,18
2025-11-28,13666.848636627197,2919.2443656921387,18
2025-12-01,13580.901805877686,3373.7543449401855,17
2025-12-02,13622.849117279053,3373.7543449401855,17
2025-12-03,13715.398487091064,3373.7543449401855,17
2025-12-04,13746.893970489502,3373.7543449401855,17
2025-12-05,13842.984226226807,3373.7543449401855,17
2025-12-08,13709.514362335205,3373.7543449401855,17
2025-12-09,13782.014324188232,3373.7543449401855,17
2025-12-10,13806.504344940186,3373.7543449401855,17
2025-12-11,13894.316822052002,3373.7543449401855,17
2025-12-12,9865.3743019104,3373.7543449401855,17
